brand,nama_produk,harga_coret,harga_diskon,nominal_diskon,jumlah_terjual,e_commerce,country,tipe_kemasan
Wings,"Mie Sedaap All Variant paket 3, 5 dan 10 pcs paket hemat",0,11640,0,0,Shopee,Indonesia,Bundling
Wings,SEDAAP Mie Goreng Isi 5 Pack,0,22600,0,215,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Soto Ayam 5 x 75g Kuah Gurih,0,16350,0,417,Shopee,Indonesia,Bundling
Wings,Sedaap Mie Instan Goreng Salero Padang Bag 86 gr x40,0,128200,0,1000,Shopee,Indonesia,Grosir
Wings,SEDAAP MIE SOTO 5X75G,0,13000,0,133,Shopee,Indonesia,Satuan
Wings,Sedap MIE KOREA (Isi 10 Bks),0,34450,0,15,Shopee,Indonesia,Bundling
Wings,Mie Sedaap All varian 1 Dus Mix Rasa isi 40 Pcs,0,143000,0,899,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Ayam Bawang Bag 11 x 70 gr,0,36800,0,72,Shopee,Indonesia,Satuan
Wings,Mie Sedaap Mie Instan Cup Baso Bleduk 5 x 77 gr,0,26300,0,3000,Shopee,Indonesia,Bundling
Wings,Mie Sedaap Mie Instant Soto Madura 82gr x 15,0,49700,0,43,Shopee,Indonesia,Satuan
Wings,Sedaap Mie Instan Korean Spicy Soup Bag 77 gr Carton (40 pcs),0,120700,0,202,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Goreng Paket Box 5 Pcs,0,26000,0,25,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Kari Kental Special Bag 75 gr Carton (40 pcs),0,120700,0,471,Shopee,Indonesia,Grosir
Wings,Sedaap Mie Instan Singapore Spicy Laksa Bag 83 gr x40,0,120700,0,10000,Shopee,Indonesia,Grosir
